PARAMETER：
IMG_HEIGHT =  345;
IMG_WIDTH =  400;
ITER = 10000;  // 随机取点次数
PLANE_OR_NOT =0.1;  // 判断是否为平面的分界线

-----------------------------
RESULT:
basePath = "/home/zhoujie/liveness detection/raw文件/face";
pretotal = 3758,_ary = 0.274027,95.raw不是人脸
pretotal = 6513,_ary = 0.343042,67.raw不是人脸
pretotal = 2095,_ary = 0.201036,124.raw不是人脸
pretotal = 6242,_ary = 0.355913,66.raw不是人脸
pretotal = 3912,_ary = 0.254887,31.raw不是人脸
pretotal = 7744,_ary = 0.362870,86.raw不是人脸
pretotal = 3475,_ary = 0.272229,105.raw不是人脸
pretotal = 3055,_ary = 0.203626,36.raw不是人脸
pretotal = 7492,_ary = 0.331783,83.raw不是人脸
pretotal = 7905,_ary = 0.356982,70.raw不是人脸
pretotal = 3651,_ary = 0.277960,96.raw不是人脸
pretotal = 4636,_ary = 0.343509,60.raw不是人脸
pretotal = 4252,_ary = 0.318550,103.raw不是人脸
pretotal = 4281,_ary = 0.274670,30.raw不是人脸
pretotal = 5395,_ary = 0.336598,63.raw不是人脸
pretotal = 4691,_ary = 0.297633,189.raw不是人脸
pretotal = 5202,_ary = 0.289273,171.raw不是人脸
pretotal = 4211,_ary = 0.268679,192.raw不是人脸
pretotal = 1864,_ary = 0.176800,120.raw不是人脸
pretotal = 4621,_ary = 0.284055,190.raw不是人脸
pretotal = 9132,_ary = 0.401230,79.raw不是人脸
pretotal = 5639,_ary = 0.297541,183.raw不是人脸
pretotal = 3007,_ary = 0.224119,201.raw不是人脸
pretotal = 3597,_ary = 0.284843,99.raw不是人脸
pretotal = 5655,_ary = 0.305346,160.raw不是人脸
pretotal = 5830,_ary = 0.287930,169.raw不是人脸
pretotal = 3437,_ary = 0.239796,197.raw不是人脸
pretotal = 3388,_ary = 0.257564,42.raw不是人脸
pretotal = 3199,_ary = 0.225838,35.raw不是人脸
pretotal = 7961,_ary = 0.325736,76.raw不是人脸
pretotal = 3320,_ary = 0.245798,37.raw不是人脸
pretotal = 4397,_ary = 0.338569,58.raw不是人脸
pretotal = 3031,_ary = 0.219479,205.raw不是人脸
pretotal = 7387,_ary = 0.357915,85.raw不是人脸
pretotal = 3327,_ary = 0.265480,132.raw不是人脸
pretotal = 5584,_ary = 0.293154,167.raw不是人脸
pretotal = 5112,_ary = 0.292767,165.raw不是人脸
pretotal = 3128,_ary = 0.213210,194.raw不是人脸
pretotal = 5461,_ary = 0.323500,184.raw不是人脸
pretotal = 5581,_ary = 0.310833,172.raw不是人脸
pretotal = 3552,_ary = 0.231130,206.raw不是人脸
pretotal = 4546,_ary = 0.296523,210.raw不是人脸
pretotal = 4829,_ary = 0.220764,20.raw不是人脸
pretotal = 5813,_ary = 0.313521,157.raw不是人脸
pretotal = 3421,_ary = 0.256466,97.raw不是人脸
pretotal = 3495,_ary = 0.266164,108.raw不是人脸
pretotal = 3087,_ary = 0.256225,131.raw不是人脸
pretotal = 5616,_ary = 0.312243,154.raw不是人脸
pretotal = 3489,_ary = 0.273497,52.raw不是人脸
pretotal = 4840,_ary = 0.286951,185.raw不是人脸
pretotal = 2722,_ary = 0.205496,50.raw不是人脸
pretotal = 5602,_ary = 0.311638,156.raw不是人脸
pretotal = 2819,_ary = 0.209622,44.raw不是人脸
pretotal = 3665,_ary = 0.257844,94.raw不是人脸
pretotal = 4973,_ary = 0.287823,187.raw不是人脸
pretotal = 3959,_ary = 0.246115,29.raw不是人脸
pretotal = 9278,_ary = 0.392255,77.raw不是人脸
pretotal = 3164,_ary = 0.235732,48.raw不是人脸
pretotal = 5073,_ary = 0.301015,150.raw不是人脸
pretotal = 3917,_ary = 0.220279,27.raw不是人脸
pretotal = 4621,_ary = 0.281940,211.raw不是人脸
pretotal = 4388,_ary = 0.305592,59.raw不是人脸
pretotal = 4828,_ary = 0.292128,186.raw不是人脸
pretotal = 4795,_ary = 0.303078,177.raw不是人脸
pretotal = 3965,_ary = 0.252854,207.raw不是人脸
pretotal = 3507,_ary = 0.241779,34.raw不是人脸
pretotal = 7865,_ary = 0.359526,84.raw不是人脸
pretotal = 3108,_ary = 0.216194,202.raw不是人脸
pretotal = 2977,_ary = 0.221569,200.raw不是人脸
pretotal = 2590,_ary = 0.223661,111.raw不是人脸
pretotal = 5218,_ary = 0.272822,215.raw不是人脸
pretotal = 2986,_ary = 0.235081,53.raw不是人脸
pretotal = 5438,_ary = 0.311366,161.raw不是人脸
pretotal = 2794,_ary = 0.218794,55.raw不是人脸
pretotal = 2758,_ary = 0.221171,109.raw不是人脸
pretotal = 4418,_ary = 0.182985,18.raw不是人脸
pretotal = 4005,_ary = 0.208398,23.raw不是人脸
pretotal = 2729,_ary = 0.219320,56.raw不是人脸
pretotal = 2849,_ary = 0.206091,198.raw不是人脸
pretotal = 4223,_ary = 0.324248,133.raw不是人脸
pretotal = 6922,_ary = 0.300773,73.raw不是人脸
pretotal = 7607,_ary = 0.334992,72.raw不是人脸
pretotal = 2398,_ary = 0.219456,113.raw不是人脸
pretotal = 3347,_ary = 0.254100,46.raw不是人脸
pretotal = 4837,_ary = 0.272599,213.raw不是人脸
pretotal = 3188,_ary = 0.241607,43.raw不是人脸
pretotal = 2639,_ary = 0.237043,112.raw不是人脸
pretotal = 4853,_ary = 0.304435,92.raw不是人脸
pretotal = 3866,_ary = 0.188181,24.raw不是人脸
pretotal = 4533,_ary = 0.296158,137.raw不是人脸
pretotal = 5186,_ary = 0.307610,178.raw不是人脸
pretotal = 10274,_ary = 0.435228,78.raw不是人脸
pretotal = 2016,_ary = 0.193586,118.raw不是人脸
pretotal = 3771,_ary = 0.283427,102.raw不是人脸
pretotal = 4499,_ary = 0.294611,140.raw不是人脸
pretotal = 5649,_ary = 0.299095,179.raw不是人脸
pretotal = 3062,_ary = 0.220272,195.raw不是人脸
pretotal = 5645,_ary = 0.297559,182.raw不是人脸
pretotal = 5429,_ary = 0.320598,166.raw不是人脸
pretotal = 5223,_ary = 0.309090,152.raw不是人脸
pretotal = 6429,_ary = 0.299623,82.raw不是人脸
pretotal = 2448,_ary = 0.137807,142.raw不是人脸
pretotal = 1971,_ary = 0.189083,122.raw不是人脸
pretotal = 6412,_ary = 0.380308,65.raw不是人脸
pretotal = 7934,_ary = 0.358696,71.raw不是人脸
pretotal = 3810,_ary = 0.210672,25.raw不是人脸
pretotal = 3001,_ary = 0.239563,47.raw不是人脸
pretotal = 2935,_ary = 0.233214,110.raw不是人脸
pretotal = 3154,_ary = 0.209471,33.raw不是人脸
pretotal = 5071,_ary = 0.307557,151.raw不是人脸
pretotal = 4808,_ary = 0.315962,62.raw不是人脸
